name,reference product,CPC,interventionpaper
market for aminopyridine,aminopyridine,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
"chlor-alkali electrolysis, diaphragm cell","chlorine, gaseous","34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"cement production, CEM II/A-V","cement, CEM II/A-V","37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",other products
heavy mineral sand quarry operation,zircon,"41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",mining and basic metals
"elevator production, hydraulic","elevator, hydraulic",88766: Lifting and handling equipment manufacturing services,other services
"market for rye seed, organic, for sowing","rye seed, organic, for sowing","01161: Rye, seed",agricultural biomass
"aluminium alloy production, AlLi","aluminium alloy, AlLi",41431: Unwrought aluminium,mining and basic metals
nuclear spent fuel reprocessing facility construction,nuclear spent fuel reprocessing facility,54290: General construction services of other civil engineering works,construction
"market for steel, low-alloyed, hot rolled","steel, low-alloyed, hot rolled","4121: Flat-rolled products of steel, not further worked than hot-rolled",mining and basic metals
"market for application of plant protection product, by field sprayer","application of plant protection product, by field sprayer",86119: Other support services to crop production,agricultural biomass
"market for pulpwood, softwood, measured as solid wood under bark","pulpwood, softwood, measured as solid wood under bark","3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]",forest biomass
"market for tin plating, pieces","tin plating, pieces",88731: Metal treatment and coating services,other services
trichloropropane production,"sulfur dioxide, liquid","34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",chemicals and plastics
"ventilation duct production, elbow 90°, steel, 100x50 mm","ventilation duct, elbow 90°, steel, 100x50 mm","44831: Parts of the following appliances: electromechanical domestic appliances, shavers and hairclippers, with self-[…]",machinery and equipment
"treatment of waste polyurethane, sanitary landfill","electricity, medium voltage",17100: Electrical energy,electricity production
"barley grain production, Swiss integrated production, extensive","barley grain, Swiss integrated production","01152: Barley, other",agricultural biomass
"aminopyridine production, Chichibabin amination","hydrogen, gaseous, low pressure","34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c.",chemicals and plastics
tall oil refinery operation,fatty acid,34120: Industrial monocarboxylic fatty acids; acid oils from refining,chemicals and plastics
"platinum group metal mine operation, ore with high palladium content","nickel, class 1",41422: Unwrought nickel,mining and basic metals
"market for impact extrusion of steel, cold, 5 strokes","impact extrusion of steel, cold, 5 strokes","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"rye seed production, Swiss integrated production, for sowing","rye seed, Swiss integrated production, for sowing","01161: Rye, seed",agricultural biomass
"transmission network construction, electricity, high voltage direct current subsea cable","transmission network, electricity, high voltage direct current subsea cable",53242: Long-distance communication and power lines (cables),construction
"maize grain processing, dry milling",maize chop,"01122: Maize (corn), other",agricultural biomass
"market for potassium nitrate, agricultural grade","potassium nitrate, agricultural grade",34646: Potassium nitrate,chemicals and plastics
"electronic component production, passive, mobile, earpiece and speaker","electronic component, passive, mobile, earpiece and speaker",47401: Parts for the goods of subclasses 47221 to 47223,machinery and equipment
compact fluorescent lamp production,compact fluorescent lamp,4653: Lighting equipment,machinery and equipment
"market for casting, brass","casting, brass",89320: Non-ferrous metal casting services,other services
market for 2-nitroaniline,2-nitroaniline,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
treatment of glass from used cathode ray tube,glass from used cathode ray tube,"37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",other products
"aircraft production, belly-freight aircraft, short haul","aircraft, belly freight, short haul",49623: Aeroplanes and other powered aircraft of an unladen weight exceeding 2000 kg,machinery and equipment
sulfite production,sulfite,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"hardwood forestry, birch, sustainable forest management","cleft timber, measured as dry mass","3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]",forest biomass
"market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, carbon dioxide, liquid refri(...)_16","transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, carbon dioxide, liquid refrigerant, freezing",65111: Road transport services of freight by refrigerator vehicles,road transport
"machine operation, diesel, < 18.64 kW, steady-state","machine operation, diesel, < 18.64 kW, steady-state",542: General construction services of civil engineering works,construction
market for ryegrass silage,ryegrass silage,"01919: Forage products, n.e.c.",agricultural biomass
"land already in use, forest, intensive to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
establishing orchard,establishing orchard,86119: Other support services to crop production,agricultural biomass
beef cattle production on pasture and feedlot,"cattle for slaughtering, live weight",02111: Cattle,agricultural biomass
"market for blower and heat exchange unit, KWLC 1200","blower and heat exchange unit, KWLC 1200",43911: Producer gas or water gas generators; acetylene gas generators and similar water process gas generators; disti[…],machinery and equipment
"market for consumer electronics, mobile device, smartphone","consumer electronics, mobile device, smartphone",47222: Telephones for cellular networks or for other wireless networks,machinery and equipment
"market for printed paper, offset","printed paper, offset",32690: Other printed matter,pulp and paper
market for phosphorus oxychloride,phosphorus oxychloride,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"combine harvesting, maize","combine harvesting, maize",86119: Other support services to crop production,agricultural biomass
market for ethylene glycol diethyl ether,ethylene glycol diethyl ether,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
market for packaging glass sorting facility,packaging glass sorting facility,53290: Other civil engineering works,construction
market group for light fuel oil,light fuel oil,33370: Fuel oils n.e.c.,oil and gas products
"steam generation system construction, solar tower power plant, 20 MW","steam generation system, solar tower power plant, 20 MW",53262: Power plants,construction
"market for greenhouse, glass walls and roof","greenhouse, glass walls and roof",3870: Prefabricated buildings,other products
"fish canning, small fish","fish canning, small fish","21242: Fish, otherwise prepared or preserved",agricultural biomass
"market for ventilation system, decentralized, 6 x 120 m3/h, steel ducts","ventilation system, decentralized, 6 x 120 m3/h, steel ducts",44815: Fans and ventilating or recycling hoods of the domestic type,machinery and equipment
"market for solder, bar, Sn63Pb37, for electronics industry","solder, bar, Sn63Pb37, for electronics industry","42950: Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or core[…]",metal products
